"rgmod","rgcont","id_pays","pays","pays_trad","pays_orig","population","continent","lien","nb_cas","nb_mort","nb_gueri","nb_teste","nb_actif","p_mort","p_gueri","p_actif","n_cas","n_gueri","n_mort","nb_rea"
"66","5","200","Tunisia","Tunisie","Tunisie","11864905","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","80404","2345","54362","409003","23697","0.0292","0.6761","0.2947","1065","604","66","282"
"67","24","74","Georgia","Géorgie","Géorgie","3986264","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","79678","703","62061","1012265","16914","0.0088","0.7789","0.2123","3020","3387","34",
"68","23","13","Azerbaijan","Azerbaïdjan","Azerbaïdjan","10173437","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","75688","967","55150","1516084","19571","0.0128","0.7286","0.2586","2259","1101","21",
"69","25","78","Greece","Grèce","Grèce","10403693","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","74205","1106","9989","2092324","63110","0.0149","0.1346","0.8505","1695","0","71","392"
"70","6","115","Libya","Libye","Libye","6906142","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","73602","1017","44133","371172","28452","0.0138","0.5996","0.3866","974","874","22",
"71","26","26","Bosnia and Herzegovina","Bosnie-Herzégovine","Bosnie-Herzégovine","3273048","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","71956","1889","35606","372502","34461","0.0263","0.4948","0.4789","1056","245","41",
"72","17","155","Paraguay","Paraguay","Paraguay","7165264","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","71574","1587","51375","402564","18612","0.0222","0.7178","0.2600","509","410","18","107"
"73","7","107","Kenya","Kenya","Kenya","54208768","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","70245","1269","45766","789952","23210","0.0181","0.6515","0.3304","972","352","20","59"
"74","24","210","Uzbekistan","Ouzbékistan","Ouzbékistan","33649936","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","70181","598","67446","1377915","2137","0.0085","0.9610","0.0304","194","205","4","250"
"75","25","138","Myanmar","Birmanie","Birmanie","54546880","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","68994","1577","52351","897352","15066","0.0229","0.7588","0.2184","983","989","25",
"76","27","98","Ireland","Irelande","Irelande","4958414","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","67903","1979","23364","1781179","42560","0.0291","0.3441","0.6268","377","0","1","30"
"77","8","3","Algeria","Algérie","Algérie","44144876","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","67679","2154","44633","0","20892","0.0318","0.6595","0.3087","860","434","15","44"
"78","26","110","Kyrgyzstan","Kirghizistan","Kirghizistan","6564209","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","66504","1199","57321","458475","7984","0.0180","0.8619","0.1201","551","474","3","128"
"79","18","160","Puerto Rico","Porto Rico","Etats-Unis","3193694","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","65743","820",,"0",,"0.0125",,,"0",,"0",
"80","9","146","Nigeria","Nigeria","Nigeria","208020476","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","65148","1163","61073","705809","2912","0.0179","0.9375","0.0447","152","44","0","10"
"81","27","152","Palestine","Palestine","Palestine","5145152","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","63031","565","54346","584757","8120","0.0090","0.8622","0.1288","864","555","7",
"82","28","53","Denmark","Danemark","Danemark","5799893","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","62136","760","47747","6317049","13629","0.0122","0.7684","0.2193","1058","973","3","45"
"83","28","180","Singapore","Singapour","Singapour","5867612","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","58119","28","58029","4066897","62","0.0005","0.9985","0.0011","3","10","0",
"84","29","183","Slovenia","Slovénie","Slovénie","2079046","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","55042","797","34864","440855","19381","0.0145","0.6334","0.3521","920","1316","32","201"
"85","10","76","Ghana","Ghana","Ghana","31312834","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","50123","322","48328","560713","1473","0.0064","0.9642","0.0294","105","149","2","16"
"86","29","121","Malaysia","Malaisie","Malaisie","32520804","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","47417","309","34785","2401043","12323","0.0065","0.7336","0.2599","1208","1013","3","104"
"87","30","147","North Macedonia","Macédoine du Nord","Macédoine du Nord","2083342","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","47050","1305","27364","292189","18381","0.0277","0.5816","0.3907","988","383","24","138"
"88","30","1","Afghanistan","Afghanistan","Afghanistan","39251970","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","43240","1617","35092","129334","6531","0.0374","0.8116","0.1510","205","25","12","93"
"89","19","59","El Salvador","Salvador","Salvador","6498526","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","36358","1044","32721","509827","2593","0.0287","0.9000","0.0713","0","0","5","48"
"90","31","117","Lithuania","Lituanie","Lituanie","2707719","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","34758","277","7753","1183216","26728","0.0080","0.2231","0.7690","1372","56","11","87"
"91","32","149","Norway","Norvège","Norvège","5437153","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","28966","294","19025","1959753","9647","0.0101","0.6568","0.3330","532","0","0","29"
"92","31","162","Republic of Korea","Corée du sud","Corée du sud","51285868","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","28546","493","25691","2786878","2362","0.0173","0.9000","0.0827","208","55","1","56"
"93","33","2","Albania","Albanie","Albanie","2876607","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","27830","623","12889","151251","14318","0.0224","0.4631","0.5145","597","122","11","17"
"94","32","11","Australia","Australie","Australie","25610483","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","27728","907","25490","9379009","1331","0.0327","0.9193","0.0480","17","8","0",
"95","34","133","Montenegro","Monténégro","Monténégro","628096","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","27177","391","17387","109592","9399","0.0144","0.6398","0.3458","491","236","6","31"
